2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
1563	1582	1738	1614	1689	1635	1620	1669	1664	1720	1540	1452
1061	1105	1065	1123	1091	1053	1104	1072	1103	1127	998	874
1258	1263	1354	1293	1211	1291	1270	1350	1277	1348	1261	1105
1192	1139	1191	1255	1224	1164	1218	1244	1246	1203	1056	1106
1242	1186	1271	1242	1264	1268	1236	1245	1272	1258	1094	1073
1744	1847	1866	1932	1838	1883	1849	1966	2134	2014	1871	1806
1692	1744	1927	1902	1778	1800	1892	1986	2082	1997	1738	1729
1235	1320	1335	1387	1369	1332	1369	1395	1343	1365	1180	1173
1167	1298	1250	1333	1262	1198	1297	1264	1304	1230	1090	1002
1350	1287	1364	1419	1320	1403	1313	1392	1408	1325	1203	1137
1157	1211	1179	1276	1228	1222	1225	1166	1186	1190	1076	977
1231	1275	1190	1272	1180	1248	1184	1373	1424	1304	1225	1164
