1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
920038	918187	879885	856102	831123	794348	826853	823059	810927	784504	811893	776344	729173	745790	779861	802809	852353	848670	780279	756865	681374
91913	110765	142075	170552	192191	197011	219429	231224	249388	264239	288320	291440	285136	303586	313015	315094	355346	370373	357592	352428	305560
268915	280634	296405	277601	263196	236174	253839	241602	238080	230398	245457	254883	248452	268509	277928	259548	237648	192370	158478	151930	121065
169582	195279	216067	227702	224092	234860	246788	257208	269891	277557	285041	274431	262430	260654	268376	262711	281410	287063	266048	283092	285451
6239	6153	6104	6538	5327	4547	4206	5097	5953	6317	6642	6411	5513	4927	4508	4852	5871	6299	6352	7822	7775
2829	2784	2596	2228	1926	1775	1563	1379	1285	1229	1183	1204	1190	1372	1124	1134	1367	1597	1543	1269	1106
13528	14044	15529	16047	16543	16204	19870	22509	28326	37682	45959	52758	60847	71331	84955	100624	124407	145398	167626	194583	169868
4617	4436	4632	4375	4528	4777	5345	5877	6617	7354	7845	8145	8162	8705	10270	11541	13317	15439	17183	19174	17407
22062	28791	45078	63128	52858	67986	71223	73468	81177	97175	124204	135005	143535	172918	164075	151470	130979	119668	119456	118227	125238
3723	3684	3462	3275	3293	3222	3450	3437	3643	3835	4085	4272	4173	4508	4143	4571	4920	5274	4443	3949	3303
